location,total_sqft,price,bhk
Kadugodi,1260,54,3
Yelahanka,1282,48.7,3
Kogilu,1909,88,3
Panathur,1359,87,2
other,1207,43.5,2
Padmanabhanagar,1736,190,4
1st Block Jayanagar,2850,428,4
Kammasandra,1595,65,3
other,1798,89,3
Electronics City Phase 1,1475,78.29,3
other,1580,100,3
Dasarahalli,1295,65,2
Magadi Road,3600,141,6
Electronic City,589,27,1
other,1415,78,3
Sarjapur  Road,1787,98.29,3
Sarjapur  Road,1787,125,3
Koramangala,1475,90,3
other,2000,75.5,4
Sarjapur  Road,984,44.28,2
Devanahalli,1630,74.82,3
other,2405,260,3
7th Phase JP Nagar,1080,72,2
other,1500,115,2
Hebbal,1900,119,3
Dommasandra,805,22.14,2
Budigere,1153,56.4,2
other,1148,60,2
other,1110,55,2
Electronic City,1100,42,2
Kalyan nagar,1290,110,2
other,1500,65,3
other,1080,39,2
Vijayanagar,1933,129,3
Ramamurthy Nagar,3500,150,5
other,1060,60,2
Chandapura,645,16.45,1
other,2600,180,8
Chandapura,645,16.45,1
other,1644,84,3
other,1285,72.5,2
Electronic City,1200,90,3
Electronic City,910,40,2
Kothanur,1577,70,3
other,4050,280,3
OMBR Layout,2420,185,3
Chandapura,800,20,2
other,1060,55,2
7th Phase JP Nagar,1270,93,2
other,900,22.5,2
other,1280,69,2
Horamavu Agara,1200,95,4
Sarjapur  Road,1025,36,2
Electronic City,1108,63,2
other,1200,170,5
other,3045,170,3
Ambedkar Nagar,2900,300,4
Vijayanagar,1500,75.5,3
Raja Rajeshwari Nagar,1295,43.9,2
Budigere,1162,59.9,2
Sarjapur  Road,1035,49.2,2
Attibele,1600,52.8,4
other,1464,46,3
Hennur Road,1866,61.58,3
other,700,26,2
Kalena Agrahara,1804,120,3
Sarjapur,913,32,2
Talaghattapura,1868,131,3
Kengeri Satellite Town,883,45,2
other,900,110,2
Kogilu,1664,73.95,3
Hegde Nagar,2026,132,3
Balagere,1210,80.9,2
other,4111,250,4
Kadugodi,1762,91.45,3
Jigani,1252,55,3
Gollarapalya Hosahalli,861,34.5,2
7th Phase JP Nagar,1420,100,3
other,1450,250,6
Electronics City Phase 1,1490,78.8,3
Bisuvanahalli,1075,46,3
Old Madras Road,1425,94,3
Kalena Agrahara,1200,40,2
Kaggadasapura,1280,56,3
other,1084,50,2
Chandapura,1015,25.88,2
Kanakpura Road,1017,51.25,2
Haralur Road,1027,44,2
Electronic City Phase II,1069,45,2
Hebbal,1349,98.2,2
9th Phase JP Nagar,1005,50,2
Jakkur,1417,75,2
TC Palaya,1475,98,3
other,950,47,2
other,2000,120,4
Giri Nagar,880,140,3
Sarjapur  Road,1863,104,4
Singasandra,1010,29.5,2
Kalena Agrahara,1425,70,3
Vijayanagar,1450,100,3
Kothanur,1847,105,3
AECS Layout,1100,45,2
Kanakpura Road,525,26,1
Mallasandra,1665,95,3
Begur,1664,65,4
JP Nagar,1850,150,3
Panathur,1438,100,2
other,1560,115,3
Yelahanka,1350,55.55,2
Kanakpura Road,1550,67,3
Malleshpalya,1140,46.5,2
other,1200,180,5
other,850,27,2
Whitefield,1280,75,2
Munnekollal,1170,52,2
other,1113,51,2
Hennur Road,1385,83.09,2
Electronic City,1128,65,2
Marathahalli,1200,128,2
other,1200,165,4
Rajaji Nagar,2390,415,3
Giri Nagar,2400,400,4
Haralur Road,1464,56,3
other,1200,55,2
Kaval Byrasandra,1200,52,2
Kaggalipura,1150,55,3
other,1645,95,3
Sarjapur  Road,1000,67,2
Haralur Road,2650,198,4
6th Phase JP Nagar,1192,74,2
Ulsoor,2135,215,3
Whitefield,1173,58,2
Uttarahalli,1020,45,2
Thigalarapalya,3122,230,4
Somasundara Palya,1600,64,3
other,1200,79,2
other,1230,48,2
Devarachikkanahalli,1250,40,2
Kalena Agrahara,1325,76,2
7th Phase JP Nagar,1850,150,3
Kanakpura Road,525,21.53,1
Basaveshwara Nagar,1200,65,2
other,1350,140,3
Bommasandra,1260,49.36,3
other,1800,150,3
other,11,74,3
Ardendale,1100,43.25,2
Harlur,1508,77,2
other,1592,75,3
Akshaya Nagar,1388,57,2
Electronic City Phase II,630,28.35,1
other,2000,365,3
other,1762,125,3
other,950,50,2
Kodihalli,3252,335,4
Magadi Road,1116,50,2
Narayanapura,1308,89.04,2
other,1200,90,3
other,1500,230,4
Bannerghatta Road,500,18.5,1
Hennur,1075,52,2
Chandapura,530,11.66,1
Bellandur,1205,66,2
5th Phase JP Nagar,1075,60,2
KR Puram,930,39,2
Balagere,1380,60,2
Hebbal,2483,212,4
Kodigehaali,1166,55,2
Bannerghatta Road,1050,65,2
other,2023.71,275,3
Begur Road,1200,46.8,2
Lakshminarayana Pura,1600,108,3
Billekahalli,1935,110,3
8th Phase JP Nagar,451,29.9,1
Electronic City,1800,95,3
Jalahalli,1400,77,3
Hegde Nagar,1801,115,3
Mahadevpura,1451,90,2
Anekal,1200,36,2
Begur Road,1160,44,2
Kengeri,1000,25,2
Kanakpura Road,950,40,2
other,1629,79,3
Vijayanagar,1580,134,3
Vijayanagar,1826,121,3
7th Phase JP Nagar,1245,94,2
Raja Rajeshwari Nagar,1145,45.79,2
Sompura,825,33,2
Yeshwanthpur,1693,108,3
Electronics City Phase 1,1113.27,53,2
other,1460,58,2
Doddathoguru,1050,32,2
Dodda Nekkundi,1260,55,2
other,700,120,6
Hosur Road,1656,120,2
Chandapura,1208,45,3
Whitefield,1910,161,3
Whitefield,3252,230,4
Battarahalli,1200,65,2
other,1200,175,4
7th Phase JP Nagar,1175,82,2
other,1000,165,2
Bannerghatta Road,1200,125,4
Rajaji Nagar,2390,410,3
Rajaji Nagar,12000,2200,7
Sultan Palaya,550,62,2
other,1185,38,2
Kengeri,750,38,2
Mahalakshmi Layout,1200,250,6
Kanakpura Road,1550,64.5,3
other,1760,88,3
Billekahalli,1125,62,2
Nagarbhavi,1350,150,3
Anandapura,1000,55,2
Bommasandra Industrial Area,1090,31.48,2
TC Palaya,1200,60,2
Budigere,1991,103,3
Bommasandra,1060,26.5,2
Ambalipura,1105,75,2
Hoodi,985,67,2
Chandapura,1533,85,6
Balagere,1590,79,3
CV Raman Nagar,1120,55,2
other,1069,55,2
Marathahalli,1933,140,3
Hosur Road,1194,69,2
Brookefield,1150,69,2
Yelenahalli,1240,47.12,2
Raja Rajeshwari Nagar,1419,48.1,2
7th Phase JP Nagar,1200,250,8
other,2150,240,3
other,1450,55,3
other,1630,68.29,3
Dasanapura,708,40,2
Kasavanhalli,1000,110,3
Whitefield,11890,700,4
Bellandur,1250,76,2
7th Phase JP Nagar,1400,95,3
Sarjapur  Road,1670,57,3
Ardendale,1750,100,3
Vittasandra,1404,71,2
Hoodi,1715,95,3
Electronic City,630,34.65,1
Harlur,1752.12,135,3
Hulimavu,1650,78,3
Raja Rajeshwari Nagar,1295,55.47,2
Giri Nagar,1800,252,3
Sarjapur  Road,1346,74.03,2
other,1200,200,4
Hormavu,1150,55,2
other,3309,325,4
Chandapura,1190,30.35,3
AECS Layout,1620,98,3
Marathahalli,950,46.96,2
other,5000,360,11
Harlur,2450,120,3
Electronic City Phase II,1220,35.23,3
other,850,30,2
Padmanabhanagar,1020,63,2
Chikkalasandra,1100,50,2
other,1150,126,2
Hebbal,1760,130,3
Ambalipura,1800,110,3
Akshaya Nagar,1070,54,2
2nd Stage Nagarbhavi,1500,220,4
Vidyaranyapura,1440,95,2
Amruthahalli,900,40,2
other,1200,230,4
Whitefield,1130,42.16,2
Koramangala,1320,165,2
Kodigehalli,1270,98,2
other,1200,62,2
other,4800,235,4
other,1200,74,2
Subramanyapura,929,50.17,2
other,1150,260,4
Basavangudi,1125,180,4
Kenchenahalli,500,65,5
other,1200,190,5
other,1464,56,3
7th Phase JP Nagar,3600,400,4
other,2000,99,4
Chikkalasandra,1208,49,2
Hebbal Kempapura,1130,60,2
other,1753,120,3
Old Madras Road,4500,337,5
Banjara Layout,600,58,3
Hoodi,1196,94.42,2
5th Phase JP Nagar,1150,52.5,2
Electronic City,1128,63,2
other,1000,53,2
Yelahanka,1035,45,2
Kereguddadahalli,950,32,2
Bisuvanahalli,1075,36,3
Whitefield,1040,48.5,2
other,720,45,2
Lingadheeranahalli,1511,95,3
other,1300,58,3
Hoodi,1545,68.75,3
Shampura,375,26,1
Vidyaranyapura,1062,38,2
other,1115,40,2
JP Nagar,1000,35,2
Kambipura,883,45,2
Sarjapur  Road,1195,70,2
other,1200,165,4
other,700,41,1
Vittasandra,1246,67,2
8th Phase JP Nagar,660,90,4
Banashankari Stage III,8500,145,4
other,1600,80,4
Haralur Road,2805,154,4
Begur Road,1584,65,3
Sector 7 HSR Layout,3000,275,4
Hosur Road,1175,48,3
other,1595,115,3
other,1353,110,2
Electronic City,1599,125,3
Whitefield,1150,70,2
Jakkur,5230,465,4
KR Puram,1155,42.74,2
other,1200,85,1
Electronic City Phase II,1000,25,2
Thanisandra,3000,120,4
Rajiv Nagar,1867,160,3
Ramagondanahalli,1251,47,2
other,1028,45.5,2
Arekere,1222,45,2
Bannerghatta Road,1170,66,3
Hebbal,2400,245,3
other,1385,48.48,3
HSR Layout,1372,68,2
Magadi Road,1282,49,3
Mico Layout,5000,210,9
other,3000,528,5
Kanakpura Road,1135,39.73,2
Whitefield,1768,101,3
other,1325,90,3
Electronic City,1599,99,3
Whitefield,1500,61.95,3
other,2610,499,3
Uttarahalli,1286,63,2
Kammanahalli,2845,140,5
other,1600,50,3
Hennur Road,1317.5,63.77,2
Hebbal,3450,260,3
Munnekollal,1102,53.67,2
Yelahanka,1350,54,2
Banashankari,1200,42,3
Hosa Road,1300,145,6
other,1800,80,2
Chikkabanavar,950,40,2
Kanakpura Road,525,27.25,1
Attibele,656,25,2
Marathahalli,1780,175,4
other,1056,80,2
Bannerghatta Road,595,33.32,1
other,1080,50,2
7th Phase JP Nagar,2225,160,3
Bommasandra,1126,28.15,2
Electronics City Phase 1,1490,84,3
HRBR Layout,2000,300,4
Sarjapur  Road,1550,100,3
other,1160,55,2
Whitefield,4144,315,4
Sarjapur  Road,2100,125,3
Vittasandra,1404,69.3,2
Sarjapur  Road,2230,225,4
other,1544,120,3
Banashankari Stage III,1305,58.7,3
Marathahalli,1230,80,2
other,1200,65,2
Harlur,1460,73,3
Gottigere,967,45,2
other,540,36,1
Hormavu,715,46,1
Whitefield,2500,313,3
other,1578,180,3
Mysore Road,1020,48.95,2
Jigani,1020,40,2
Koramangala,1253,102,2
other,1180,42,2
Nehru Nagar,961,38,2
Kanakapura,1419,75,3
Harlur,1709,150,3
other,1600,115,2
other,416,18.5,1
Sanjay nagar,1100,98,2
HSR Layout,1430,65,3
other,1260,45,2
other,1630,85,3
Sarjapur  Road,1249,44.71,3
Kalena Agrahara,1450,85,3
Konanakunte,2791,223,3
other,600,90,1
other,834,60,1
other,1125,70,3
Arekere,2060,140,3
Malleshwaram,12000,2200,7
Gottigere,891,25,2
Raja Rajeshwari Nagar,1133,49.07,2
Bisuvanahalli,1075,37,3
other,3000,260,4
Brookefield,2440,425,4
Vidyaranyapura,1200,55,2
Thanisandra,1075,45.8,2
Kaggadasapura,1140,40,2
Margondanahalli,940,150,5
other,2160,250,6
Raja Rajeshwari Nagar,1090,42,2
R.T. Nagar,1500,70,4
Whitefield,4104,360,4
Whitefield,1790,100,3
Hebbal,1920,134,3
HRBR Layout,1374,95,2
Bannerghatta Road,1445,95,3
Kanakapura,711,36,1
Tumkur Road,1500,95,3
Whitefield,1720,100,3
Vasanthapura,1400,60,3
Kundalahalli,1030,49,2
Mysore Road,1200,85,2
other,1375,70,3
Hegde Nagar,1050,56,2
Jalahalli,2250,160,3
Bellandur,1000,50,2
other,469,25,1
Marathahalli,3800,250,4
Kambipura,883,29,2
GM Palaya,1820,86,3
Singasandra,1440,65,3
other,3600,160,6
Malleshwaram,2500,325,4
Mahadevpura,1225,48,2
other,4000,660,3
Chikkalasandra,875,52.8,2
Jalahalli East,750,40,1
6th Phase JP Nagar,1180,80,2
Haralur Road,1194,47,2
Hennur Road,1500,62,3
other,1160,52.2,2
Hosakerehalli,2378,262,3
Sarjapur,1128,60,2
Hebbal,1500,150,3
other,1220,35.23,3
Sarjapur  Road,1210,58,2
Kanakpura Road,1100,58,3
Bommasandra,1200,46,3
Haralur Road,3385,260,4
other,1641,66,3
Horamavu Agara,1200,45,2
Raja Rajeshwari Nagar,1260,67.39,2
Mahadevpura,1720,78,3
Yelahanka,1132.5,48.13,2
Yelahanka,1210,45.98,2
Indira Nagar,2200,200,4
Bisuvanahalli,1075,45,3
Thanisandra,1702,130,3
other,1630,200,2
Raja Rajeshwari Nagar,1141,38.55,2
other,2072,108,3
JP Nagar,5520,375,5
other,1200,70,3
other,1350,77,3
other,4046,445,4
other,1180,78.34,3
Yelahanka,35000,130,3
other,1355,115,2
other,600,50,1
Hormavu,1200,150,7
Bannerghatta Road,1640,120,3
other,1200,100,5
Kodichikkanahalli,1190,57,3
OMBR Layout,2400,375,4
Marathahalli,1019,49.85,2
other,1875,165,3
Akshaya Nagar,1250,40,3
Brookefield,1200,140,3
Whitefield,1140,56,2
Lingadheeranahalli,1683,109,3
Kaggadasapura,1515,83.3,3
Hoodi,2118,111,4
Bannerghatta Road,1380,58,4
Varthur Road,1083,61.75,2
other,600,55,2
other,2300,120,3
other,1240,60,2
other,1750,120,3
other,1230,43.48,2
Anjanapura,1500,139,3
Abbigere,985,40.39,2
Tindlu,1500,87,3
Electronic City,1125,32.49,2
other,950,44,2
JP Nagar,5600,548.5,5
Kothanur,1580,76,3
other,1092,98.5,3
Electronic City Phase II,1090,28.34,2
Hennur Road,2264,159,3
Dommasandra,1033,25.53,3
Kammasandra,810,24.5,2
other,1045,45,2
Hebbal,1337,82,2
Chandapura,1200,32,2
Koramangala,1580,160,3
Begur Road,1500,54,3
Whitefield,1640,91,3
other,1570,62,3
Gubbalala,1470,82,3
Kengeri,1160,40.61,2
7th Phase JP Nagar,1050,71,2
other,1855,225,3
Bannerghatta Road,1460,90,3
Hulimavu,1823,100,3
Electronic City,1094,42,2
Budigere,1153,57,2
other,1325,57,3
Parappana Agrahara,1200,85,4
Jakkur,1590,125,3
other,1210,160,5
Raja Rajeshwari Nagar,1200,220,4
other,1202,48,2
Haralur Road,1202,53,2
other,1200,62.5,2
Panathur,1688,118,3
Kaval Byrasandra,1020,52,2
Sarjapur,1185,47,2
Ramagondanahalli,1235,52.04,2
Hosakerehalli,3205,500,4
Banashankari,1077,37.64,2
Kengeri Satellite Town,1415,66,3
EPIP Zone,2330,162,3
Whitefield,805,35,2
other,425,20.03,1
Whitefield,1155,59.95,2
Cunningham Road,5270,1250,4
Anekal,656,22,2
other,1100,48,2
Mahadevpura,1150,52,2
other,600,60,1
other,1468,140,2
other,4300,550,4
Whitefield,2280,126,3
Hegde Nagar,1341,97,2
Jakkur,1279,77,2
Electronic City Phase II,2225,98.88,4
Thanisandra,1185,43.51,2
other,1750,85,3
Kudlu,1152,53.5,2
other,1000,160,5
Hulimavu,1300,36,2
Varthur Road,2760,155,4
5th Phase JP Nagar,1070,39,2
Uttarahalli,1101,45,2
other,775,55,2
Yeshwanthpur,667,36.85,1
Electronic City,1070,55,2
Old Airport Road,1875,110,3
Kundalahalli,735,57.99,2
Sarjapur,4360,90,5
Koramangala,1750,130,3
Marathahalli,1215,67,2
other,600,190,9
Vishwapriya Layout,820,30,2
Banashankari Stage VI,1177.5,59.935,2
Battarahalli,1779,89.61,3
other,1105,58,2
Whitefield,1650,60,3
Jalahalli,1694,150,2
Hosakerehalli,2376,203,3
Cox Town,1975,150,3
Kammasandra,674,33,2
Kaggadasapura,1185,41,2
Thanisandra,445,28,1
other,900,76,6
HSR Layout,1475,75,3
Gottigere,1618,82.5,3
Koramangala,1120,65,2
Marathahalli,2181,152,4
Vidyaranyapura,1200,90,4
other,600,65,6
Bannerghatta Road,1556,59.13,3
Bannerghatta Road,1179,66.02,2
Thanisandra,1296,83,2
Kaggadasapura,1275,52,2
other,1875,300,7
Kathriguppe,1400,77,3
Gottigere,1222,63,2
Electronic City,940,41,2
Thanisandra,1185,42.6,2
Tumkur Road,1779,112,3
Begur Road,1615,59.76,3
JP Nagar,4624.5,453,4
Haralur Road,1056,61,2
7th Phase JP Nagar,1100,46,2
Arekere,920,40,2
other,1602,75,3
Padmanabhanagar,1176,62,2
HBR Layout,675,59,4
other,1352,135,3
Kasavanhalli,1717,99,3
other,10961,80,4
Bhoganhalli,2119,111,4
Vittasandra,1246,67.3,2
Anandapura,1141,42.79,2
Hennur Road,1157,84,2
Chandapura,1025,27.68,2
Yelahanka New Town,650,33,1
Hebbal,1349,98,2
Narayanapura,1566,83.3,3
Sahakara Nagar,2830,195,4
Electronic City,1320,38.13,3
other,1780,84.83,3
Varthur,1091,34.9,2
Rachenahalli,3670,300,4
7th Phase JP Nagar,918,50.49,2
Yeshwanthpur,1950,130,4
Panathur,1695,90,3
Yelahanka,1705,95,3
Kalyan nagar,1375,75,3
Kanakpura Road,525,30,1
Whitefield,1447,83,2
Thanisandra,1114,39,2
7th Phase JP Nagar,1450,100,3
other,460,15,2
Vasanthapura,1022,40,2
Hebbal,1000,45,2
Electronic City,1128,68.75,2
Kanakpura Road,1180,57,2
TC Palaya,1000,69,6
Nagarbhavi,1200,150,2
other,3761,660,3
Kanakpura Road,1339,75,2
Yelachenahalli,1400,55,3
7th Phase JP Nagar,1040,39.52,2
Kadugodi,1198,58,2
other,1200,95,4
Sarjapur  Road,1691,113,3
Bisuvanahalli,1075,36,3
1st Block Jayanagar,1630,194,3
8th Phase JP Nagar,1240,43.5,3
Bannerghatta Road,1122.5,58.935,2
Mallasandra,1665,86.58,3
Marathahalli,2489,94,3
Brookefield,1142,70,2
other,1976,184,3
other,5500,600,4
Kothannur,1853,82,3
Vijayanagar,600,72,8
Kasturi Nagar,1567,92,2
Talaghattapura,1090,27.24,2
Raja Rajeshwari Nagar,1200,125,6
other,2400,640,4
Electronics City Phase 1,1175,51.47,2
Subramanyapura,1200,52,2
Kodichikkanahalli,995,41,2
Magadi Road,884,41.1,2
other,900,80,5
Yeshwanthpur,1170,57,2
KR Puram,1225,46.55,2
Electronic City,1342,73.3,2
Uttarahalli,1345,67,2
Kodigehaali,1320,65,3
Raja Rajeshwari Nagar,1140,49.39,2
Battarahalli,1300,50,2
Hosa Road,1652,85,3
Thigalarapalya,2072,142,3
Arekere,1740,95,3
Electronic City,1360,71,3
Hosur Road,1145,60,3
Uttarahalli,1540,40,3
Sarjapur  Road,1278,95,2
Electronic City Phase II,630,40,1
Kanakpura Road,1100,58,3
other,1200,95,3
other,2500,115,7
Chandapura,582.5,15.135,1
Chandapura,1015,25.88,2
Hosur Road,3300,240,5
Basaveshwara Nagar,4500,415,5
Gunjur,1356,66,3
other,823,28,2
TC Palaya,1200,66,3
Ramamurthy Nagar,1050,37,2
other,1180,69,2
Whitefield,1116,51.91,2
7th Phase JP Nagar,1070,42.79,2
Varthur,1385,80,2
Varthur,1000,70,1
Whitefield,1897,130,3
Magadi Road,1005,55.78,2
Green Glen Layout,1575,125,3
Subramanyapura,975,65,2
Hennur Road,1904,120,3
Kengeri Satellite Town,930,30,1
Kanakpura Road,525,26,1
other,686,17,1
Electronic City Phase II,2400,150,2
other,1410,233,2
Sarjapur  Road,2238,140,3
Harlur,1174,69,2
Thubarahalli,3800,239,4
Whitefield,2225,125,3
other,1250,200,2
Jigani,918,52,2
Mahadevpura,1250,52,2
Sarjapur  Road,1800,110,3
Marathahalli,1170,53,2
other,1300,200,1
Bannerghatta Road,793,45,2
Jakkur,1710,107,3
Kambipura,1082,57.5,3
other,1001,33.03,2
other,1500,180,4
Yelahanka,1590,54,3
other,2400,80,3
Horamavu Banaswadi,1554,55,3
Thanisandra,1142.5,43.415,2
Bellandur,4239,423,5
Konanakunte,884,58,2
Hosa Road,1045,98.89,2
Marathahalli,1019,49.86,2
Ambedkar Nagar,1935,130,3
Uttarahalli,1135,39.73,3
Lakshminarayana Pura,1680,150,3
Hebbal,2470,247,4
1st Phase JP Nagar,2825,250,4
Hosakerehalli,2480,330,3
5th Phase JP Nagar,1260,290,9
Ramamurthy Nagar,1800,187,5
Kasavanhalli,1799,90,3
Whitefield,4348.5,304,4
Attibele,400,11,1
Kundalahalli,1047,82,2
other,1282,87,2
NGR Layout,1020,45.9,2
Kammanahalli,1080,155,4
Whitefield,1495,79.5,2
Kasavanhalli,3260,240,4
other,1611,64.44,3
Koramangala,3500,425,4
other,1500,95,3
Sahakara Nagar,1500,95,3
Yelahanka,3206,270,4
Uttarahalli,1540,50,3
Hosa Road,1639,80,3
Marathahalli,700,72,4
Raja Rajeshwari Nagar,1303,55.79,2
Koramangala,1005,110,2
Kammasandra,657.5,18.41,1
Chandapura,1305,33.28,3
Kothannur,600,95,3
other,1300,115,2
Brookefield,1440,68,3
Seegehalli,901,35.14,2
Rajaji Nagar,1725,200,3
Sarjapur,900,42,3
BEML Layout,1060,55,2
NGR Layout,1020,48.45,2
Varthur,1535,65.99,3
other,530,20,1
Haralur Road,1464,56,3
other,1350,80,2
Sarjapur  Road,1115,50,2
Uttarahalli,1175,47,2
Whitefield,1113,62,2
Uttarahalli,1200,225,6
Ramamurthy Nagar,1640,240,5
Giri Nagar,650,42,2
Marathahalli,1325,71.55,2
Electronics City Phase 1,950,31,2
Jakkur,1396,86.51,3
Rachenahalli,1050,52.07,2
Thanisandra,1825,100,3
7th Phase JP Nagar,1190,49.98,2
Marathahalli,1220,56.5,2
NRI Layout,1565,75,3
Hennur Road,1891,109,3
other,900,27,2
Hosa Road,1161,55.15,2
Sarjapur,649.5,17.535,1
other,2400,125,8
Rajaji Nagar,315,90,4
Yeshwanthpur,665,36.85,1
Mysore Road,1175,73.5,2
Hoodi,1425,80,2
Chikkabanavar,1200,20,1
ITPL,1200,56.12,3
Somasundara Palya,1255,67,2
Hegde Nagar,2112.95,145,3
Raja Rajeshwari Nagar,600,22,1
Haralur Road,1810,100,3
Indira Nagar,1200,93,2
Harlur,1033,49,2
ITPL,1548,89.5,3
Horamavu Banaswadi,1611,66,3
